user14_RL_3,user14_RL_7,user14_Rule_3,user14_Rule_7,user15_RL_3,user15_RL_7,user15_Rule_3,user15_Rule_7,user8_Rule_3,user8_Rule_7,user8_RL_3,user8_RL_7,user4_Rule_3,user4_Rule_7,user4_RL_3,user4_RL_7,user30_Rule_3,user30_Rule_7,user30_RL_3,user30_RL_7,user13_Rule_3,user13_Rule_7,user13_RL_3,user13_RL_7,user18_Rule_3,user18_Rule_7,user18_RL_3,user18_RL_7,user27_RL_3,user27_RL_7,user27_Rule_3,user27_Rule_7,user26_RL_3,user26_RL_7,user26_Rule_3,user26_Rule_7,user34_Rule_3,user34_Rule_7,user34_RL_3,user34_RL_7,user35_Rule_3,user35_Rule_7,user35_RL_3,user35_RL_7,user23_RL_3,user23_RL_7,user23_Rule_3,user23_Rule_7,user22_RL_3,user22_RL_7,user22_Rule_3,user22_Rule_7,user16_RL_3,user16_RL_7,user16_Rule_3,user16_Rule_7,user29_Rule_3,user29_Rule_7,user29_RL_3,user29_RL_7,user28_Rule_3,user28_Rule_7,user28_RL_3,user28_RL_7,user24_RL_3,user24_RL_7,user24_Rule_3,user24_Rule_7,user25_RL_3,user25_RL_7,user25_Rule_3,user25_Rule_7,user10_Rule_3,user10_Rule_7,user10_RL_3,user10_RL_7,user7_Rule_3,user7_Rule_7,user7_RL_3,user7_RL_7,user6_RL_3,user6_RL_7,user6_Rule_3,user6_Rule_7,user33_RL_3,user33_RL_7,user33_Rule_3,user33_Rule_7
50.0,41.0,41.0,11.0,50.0,46.0,49.0,25.0,50.0,47.0,50.0,92.0,50.0,27.0,50.0,25.0,50.0,0.0,50.0,56.0,50.0,48.0,50.0,69.0,50.0,19.0,50.0,61.0,50.0,100.0,50.0,0.0,50.0,82.0,50.0,53.0,50.0,21.0,50.0,62.0,50.0,27.0,50.0,39.0,50.0,30.0,50.0,25.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,1.0,50.0,29.0,50.0,39.0,49.0,47.0,10.0,18.0,50,48,50,41,50.0,35.0,50.0,25.0,50.0,18.0,50.0,30.0,50.0,24.0,50.0,29.0,50.0,31.0,50.0,38.0,50.0,67.0,50.0,70.0
50.0,41.0,4.0,11.0,50.0,46.0,40.0,25.0,50.0,53.0,32.0,92.0,50.0,27.0,50.0,25.0,50.0,0.0,50.0,56.0,50.0,48.0,50.0,69.0,50.0,19.0,50.0,61.0,50.0,100.0,9.0,0.0,50.0,82.0,50.0,53.0,50.0,21.0,48.0,62.0,50.0,27.0,50.0,39.0,50.0,30.0,50.0,25.0,20.0,0.0,24.0,0.0,50.0,0.0,50.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,18.0,50,48,50,41,50.0,35.0,47.0,25.0,50.0,18.0,50.0,30.0,50.0,24.0,50.0,29.0,33.0,31.0,35.0,38.0,50.0,67.0,50.0,70.0
50.0,41.0,4.0,11.0,42.0,46.0,32.0,25.0,50.0,53.0,13.0,92.0,50.0,27.0,47.0,25.0,50.0,0.0,50.0,56.0,50.0,48.0,50.0,69.0,50.0,19.0,34.0,61.0,50.0,100.0,0.0,0.0,50.0,82.0,50.0,53.0,50.0,21.0,27.0,62.0,50.0,27.0,50.0,39.0,50.0,30.0,50.0,25.0,0.0,0.0,24.0,0.0,50.0,0.0,50.0,1.0,50.0,29.0,50.0,39.0,0.0,47.0,5.0,18.0,32,48,38,41,28.0,35.0,18.0,25.0,65.0,18.0,50.0,30.0,50.0,24.0,0.0,29.0,16.0,31.0,9.0,38.0,52.0,67.0,50.0,70.0
28.0,41.0,4.0,11.0,40.0,63.0,32.0,25.0,50.0,53.0,13.0,92.0,50.0,27.0,11.0,25.0,12.0,0.0,19.0,56.0,50.0,48.0,50.0,69.0,50.0,19.0,11.0,61.0,50.0,100.0,0.0,0.0,56.0,82.0,50.0,53.0,50.0,21.0,10.0,62.0,50.0,27.0,50.0,39.0,6.0,30.0,50.0,25.0,0.0,0.0,24.0,0.0,50.0,0.0,50.0,1.0,50.0,29.0,50.0,39.0,10.0,47.0,5.0,18.0,30,48,30,41,0.0,35.0,0.0,25.0,80.0,18.0,50.0,30.0,50.0,24.0,0.0,29.0,0.0,31.0,0.0,38.0,41.0,67.0,41.0,70.0
0.0,41.0,4.0,11.0,40.0,70.0,32.0,25.0,50.0,53.0,13.0,92.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,39.0,69.0,50.0,19.0,6.0,61.0,50.0,100.0,0.0,0.0,59.0,82.0,50.0,53.0,50.0,21.0,17.0,62.0,50.0,27.0,50.0,39.0,1.0,30.0,50.0,25.0,0.0,0.0,26.0,0.0,50.0,0.0,50.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,21.0,30,68,30,41,0.0,35.0,0.0,25.0,53.0,18.0,50.0,30.0,50.0,24.0,0.0,29.0,0.0,31.0,0.0,38.0,41.0,67.0,23.0,70.0
0.0,41.0,4.0,11.0,40.0,70.0,32.0,25.0,50.0,53.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,69.0,50.0,19.0,6.0,61.0,63.0,100.0,0.0,0.0,23.0,82.0,31.0,53.0,50.0,21.0,12.0,62.0,50.0,27.0,50.0,39.0,1.0,30.0,9.0,25.0,0.0,0.0,26.0,0.0,50.0,0.0,42.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,5.0,35.0,0.0,25.0,49.0,18.0,50.0,30.0,50.0,24.0,0.0,29.0,11.0,46.0,0.0,38.0,41.0,67.0,23.0,70.0
0.0,41.0,4.0,20.0,40.0,70.0,32.0,25.0,50.0,65.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,69.0,50.0,19.0,6.0,61.0,63.0,100.0,0.0,0.0,23.0,82.0,22.0,53.0,50.0,21.0,12.0,62.0,50.0,27.0,50.0,39.0,1.0,36.0,0.0,25.0,0.0,0.0,49.0,0.0,50.0,0.0,18.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,50.0,30.0,50.0,24.0,0.0,29.0,11.0,46.0,0.0,29.0,41.0,67.0,23.0,70.0
0.0,41.0,4.0,20.0,40.0,70.0,32.0,25.0,50.0,65.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,19.0,6.0,61.0,78.0,100.0,0.0,0.0,23.0,82.0,22.0,53.0,50.0,21.0,12.0,62.0,50.0,27.0,50.0,39.0,1.0,36.0,0.0,25.0,0.0,0.0,69.0,0.0,38.0,0.0,0.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,37.0,30.0,50.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,41.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,40.0,70.0,32.0,25.0,50.0,58.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,19.0,6.0,61.0,95.0,100.0,0.0,0.0,23.0,82.0,22.0,53.0,50.0,21.0,12.0,62.0,50.0,27.0,30.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,42.0,0.0,14.0,0.0,0.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,24.0,30.0,50.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,41.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,40.0,70.0,32.0,25.0,50.0,58.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,19.0,6.0,61.0,87.0,100.0,0.0,0.0,23.0,82.0,22.0,53.0,50.0,21.0,0.0,62.0,50.0,27.0,30.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,21.0,30.0,29.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,41.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,40.0,70.0,32.0,33.0,50.0,58.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,19.0,6.0,61.0,74.0,100.0,0.0,0.0,28.0,82.0,22.0,53.0,50.0,21.0,0.0,62.0,50.0,27.0,25.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,50.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,11.0,30.0,17.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,41.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,33.0,70.0,32.0,34.0,50.0,49.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,19.0,6.0,61.0,74.0,100.0,0.0,0.0,30.0,82.0,22.0,53.0,50.0,21.0,9.0,62.0,50.0,27.0,16.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,61.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,49.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,41.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,33.0,63.0,32.0,34.0,50.0,49.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,2.0,6.0,61.0,74.0,100.0,0.0,0.0,30.0,82.0,22.0,53.0,70.0,21.0,13.0,62.0,37.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,43.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,68.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,49.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,50.0,49.0,13.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,2.0,6.0,61.0,74.0,100.0,0.0,0.0,30.0,82.0,22.0,53.0,59.0,21.0,13.0,62.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,25.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,30,41,0.0,35.0,0.0,25.0,82.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,59.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,38.0,49.0,5.0,100.0,15.0,27.0,6.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,61.0,50.0,2.0,6.0,61.0,68.0,100.0,0.0,0.0,30.0,82.0,22.0,53.0,59.0,21.0,13.0,62.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,35.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,41,41,0.0,35.0,0.0,25.0,82.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,59.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,30.0,49.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,50.0,48.0,37.0,67.0,50.0,2.0,6.0,61.0,67.0,100.0,0.0,0.0,30.0,82.0,22.0,53.0,30.0,21.0,13.0,50.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,23.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,60.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,59.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,30.0,49.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,44.0,48.0,37.0,67.0,50.0,2.0,6.0,61.0,58.0,89.0,0.0,0.0,30.0,82.0,22.0,53.0,30.0,21.0,13.0,50.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,50.0,39.0,12.0,51.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,22.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,61.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,30.0,49.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,57.0,46.0,37.0,67.0,50.0,2.0,6.0,61.0,58.0,89.0,0.0,0.0,30.0,82.0,22.0,53.0,30.0,21.0,13.0,50.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,29.0,50.0,39.0,12.0,50.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,61.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,30.0,49.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,51.0,40.0,37.0,67.0,50.0,2.0,6.0,61.0,58.0,89.0,0.0,0.0,30.0,82.0,22.0,53.0,38.0,21.0,13.0,50.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,50.0,39.0,12.0,41.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,61.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,59.0,49.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,45.0,40.0,37.0,67.0,50.0,2.0,6.0,61.0,58.0,81.0,0.0,0.0,30.0,82.0,22.0,53.0,38.0,21.0,13.0,50.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,61.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,29.0,59.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,45.0,40.0,37.0,67.0,50.0,2.0,6.0,61.0,52.0,85.0,0.0,0.0,30.0,82.0,22.0,63.0,38.0,21.0,13.0,56.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,50.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,21.0,61.0,67.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,32.0,34.0,13.0,63.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,45.0,50.0,37.0,67.0,50.0,2.0,6.0,61.0,48.0,100.0,0.0,0.0,30.0,82.0,22.0,63.0,38.0,21.0,13.0,56.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,0.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,46.0,0.0,34.0,61.0,60.0,23.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,63.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,45.0,55.0,37.0,62.0,50.0,2.0,6.0,61.0,48.0,100.0,0.0,0.0,30.0,62.0,22.0,63.0,38.0,21.0,13.0,56.0,27.0,27.0,12.0,39.0,1.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,7.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,42.0,0.0,40.0,61.0,60.0,32.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,53.0,34.0,5.0,63.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,41.0,55.0,39.0,62.0,50.0,2.0,6.0,61.0,48.0,100.0,0.0,0.0,30.0,62.0,22.0,63.0,43.0,21.0,13.0,56.0,27.0,27.0,12.0,39.0,1.0,19.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,7.0,35.0,0.0,25.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,55.0,0.0,40.0,61.0,64.0,36.0,70.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,63.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,35.0,61.0,40.0,62.0,50.0,2.0,6.0,61.0,48.0,100.0,0.0,0.0,30.0,58.0,22.0,68.0,44.0,21.0,13.0,64.0,27.0,27.0,12.0,39.0,1.0,19.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,39.0,12.0,47.0,5.0,22.0,30,69,34,41,7.0,35.0,0.0,29.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,55.0,0.0,40.0,74.0,64.0,36.0,82.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,67.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,35.0,61.0,46.0,62.0,50.0,2.0,6.0,61.0,48.0,100.0,0.0,7.0,30.0,58.0,22.0,68.0,39.0,21.0,13.0,69.0,27.0,27.0,12.0,39.0,1.0,19.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,42.0,12.0,47.0,5.0,22.0,30,69,34,41,7.0,35.0,0.0,29.0,0.0,18.0,0.0,30.0,11.0,24.0,0.0,29.0,11.0,55.0,0.0,40.0,64.0,64.0,36.0,82.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,67.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,56.0,35.0,61.0,51.0,62.0,50.0,2.0,6.0,61.0,57.0,100.0,0.0,13.0,30.0,58.0,22.0,68.0,39.0,21.0,13.0,69.0,27.0,27.0,12.0,39.0,1.0,19.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,12.0,47.0,5.0,22.0,30,64,40,41,7.0,35.0,0.0,29.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,29.0,11.0,55.0,0.0,40.0,64.0,64.0,36.0,82.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,67.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,66.0,35.0,61.0,51.0,57.0,50.0,2.0,6.0,61.0,62.0,100.0,0.0,13.0,30.0,58.0,22.0,68.0,39.0,21.0,13.0,69.0,27.0,27.0,12.0,39.0,1.0,19.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,12.0,47.0,5.0,22.0,30,73,28,41,7.0,41.0,0.0,35.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,29.0,11.0,47.0,0.0,40.0,64.0,64.0,36.0,82.0
0.0,41.0,0.0,20.0,39.0,63.0,46.0,34.0,5.0,67.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,76.0,35.0,61.0,51.0,57.0,50.0,2.0,6.0,61.0,62.0,100.0,0.0,13.0,37.0,58.0,22.0,68.0,39.0,21.0,13.0,64.0,27.0,27.0,12.0,39.0,1.0,19.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,12.0,47.0,5.0,22.0,30,73,28,41,7.0,41.0,0.0,35.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,29.0,11.0,47.0,0.0,53.0,64.0,64.0,36.0,82.0
7.0,41.0,0.0,20.0,39.0,63.0,58.0,34.0,11.0,67.0,5.0,100.0,15.0,27.0,11.0,25.0,0.0,0.0,0.0,76.0,35.0,61.0,51.0,65.0,50.0,2.0,6.0,61.0,67.0,100.0,0.0,20.0,40.0,54.0,22.0,68.0,32.0,21.0,13.0,64.0,27.0,27.0,12.0,39.0,1.0,19.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,12.0,47.0,5.0,22.0,30,73,28,41,7.0,41.0,0.0,35.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,41.0,11.0,47.0,0.0,53.0,64.0,64.0,36.0,82.0
7.0,58.0,0.0,20.0,38.0,63.0,43.0,34.0,11.0,67.0,5.0,100.0,15.0,43.0,11.0,25.0,0.0,0.0,0.0,76.0,35.0,61.0,51.0,65.0,50.0,2.0,6.0,61.0,72.0,100.0,0.0,20.0,40.0,51.0,22.0,68.0,32.0,21.0,13.0,64.0,27.0,27.0,12.0,39.0,1.0,19.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,16.0,47.0,5.0,22.0,30,73,28,41,7.0,41.0,0.0,35.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,41.0,11.0,47.0,0.0,53.0,64.0,64.0,36.0,82.0
7.0,58.0,0.0,20.0,31.0,63.0,43.0,34.0,20.0,67.0,5.0,100.0,15.0,38.0,11.0,25.0,0.0,0.0,0.0,76.0,35.0,61.0,51.0,65.0,50.0,2.0,6.0,61.0,72.0,100.0,0.0,20.0,40.0,51.0,22.0,68.0,32.0,21.0,13.0,64.0,27.0,27.0,12.0,39.0,1.0,19.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,28.0,45.0,16.0,47.0,5.0,22.0,30,73,28,41,7.0,41.0,0.0,35.0,0.0,18.0,0.0,30.0,11.0,24.0,15.0,41.0,11.0,47.0,0.0,45.0,64.0,64.0,36.0,82.0
